Rowid_;FID;FREQUENCY;CUMUN;NMUN;N_SECCIONES
;0;1;17040;Canet d'Adri;1
;0;1;17041;Cantallops;1
;0;1;17042;Capmany;1
;0;1;17043;Queralbs;1
;0;5;17044;Cassà de la Selva;5
;0;1;17046;Castellfollit de la Roca;1
;0;4;17047;Castelló d'Empúries;4
;0;5;17048;Castell-Platja d'Aro;5
;0;3;17049;Celrà;3
;0;1;17050;Cervià de Ter;1
;0;1;17051;Cistella;1
;0;1;17052;Siurana;1
;0;1;17054;Colera;1
;0;1;17055;Colomers;1
;0;1;17056;Cornellà del Terri;1
;0;1;17057;Corçà;1
;0;1;17058;Crespià;1
;0;1;17060;Darnius;1
;0;1;17061;Das;1
;0;5;17062;Escala, L';5
;0;1;17063;Espinelves;1
;0;1;17064;Espolla;1
;0;1;17065;Esponellà;1
;0;26;17066;Figueres;26
;0;1;17067;Flaçà;1
;0;1;17068;Foixà;1
;0;1;17069;Fontanals de Cerdanya;1
;0;1;17070;Fontanilles;1
;0;1;17071;Fontcoberta;1
;0;1;17073;Fornells de la Selva;1
;0;1;17074;Fortià;1
;0;1;17075;Garrigàs;1
;0;1;17076;Garrigoles;1
;0;1;17077;Garriguella;1
;0;1;17078;Ger;1
;0;61;17079;Girona;61
;0;1;17080;Gombrèn;1
;0;1;17081;Gualta;1
;0;1;17082;Guils de Cerdanya;1
;0;3;17083;Hostalric;3
;0;1;17084;Isòvol;1
;0;1;17085;Jafre;1
;0;2;17086;Jonquera, La;2
;0;1;17087;Juià;1
;0;1;17088;Lladó;1
;0;4;17089;Llagostera;4
;0;1;17090;Llambilles;1
;0;1;17091;Llanars;1
;0;3;17092;Llançà;3
;0;1;17093;Llers;1
;0;1;17094;Llívia;1
;0;14;17095;Lloret de Mar;14
;0;1;17096;Llosses, Les;1
;0;1;17097;Madremanya;1
;0;1;17098;Maià de Montcal;1
;0;1;17099;Meranges;1
;0;1;17100;Masarac;1
;0;1;17101;Massanes;1
;0;1;17102;Maçanet de Cabrenys;1
;0;4;17103;Maçanet de la Selva;4
;0;1;17105;Mieres;1
;0;1;17106;Mollet de Peralada;1
;0;1;17107;Molló;1
;0;1;17109;Montagut i Oix;1
;0;1;17110;Mont-ras;1
;0;1;17111;Navata;1
;0;1;17112;Ogassa;1
;0;21;17114;Olot;21
;0;1;17115;Ordis;1
;0;1;17116;Osor;1
;0;11;17117;Palafrugell;11
;0;11;17118;Palamós;11
;0;1;17119;Palau de Santa Eulàlia;1
;0;1;17120;Palau-saverdera;1
;0;1;17121;Palau-sator;1
;0;1;17123;Palol de Revardit;1
;0;1;17124;Pals;1
;0;1;17125;Pardines;1
;0;1;17126;Parlavà;1
;0;1;17128;Pau;1
;0;1;17129;Pedret i Marzà;1
;0;1;17130;Pera, La;1
;0;1;17132;Peralada;1
;0;1;17133;Planes d'Hostoles, Les;1
;0;1;17134;Planoles;1
;0;1;17135;Pont de Molins;1
;0;1;17136;Pontós;1
;0;3;17137;Porqueres;3
;0;1;17138;Portbou;1
;0;1;17139;Preses, Les;1
;0;1;17140;Port de la Selva, El;1
;0;5;17141;Puigcerdà;5
;0;2;17142;Quart;2
;0;1;17143;Rabós;1
;0;1;17144;Regencós;1
;0;2;17145;Ribes de Freser;2
;0;2;17146;Riells i Viabrea;2
;0;8;17147;Ripoll;8
;0;1;17148;Riudarenes;1
;0;1;17149;Riudaura;1
;0;1;17150;Riudellots de la Selva;1
;0;1;17151;Riumors;1
;0;11;17152;Roses;11
;0;1;17153;Rupià;1
;0;1;17154;Sales de Llierca;1
;0;15;17155;Salt;15
;0;1;17157;Sant Andreu Salou;1
;0;1;17158;Sant Climent Sescebes;1
;0;1;17159;Sant Feliu de Buixalleu;1
;0;12;17160;Sant Feliu de Guíxols;12
;0;1;17161;Sant Feliu de Pallerols;1
;0;1;17162;Sant Ferriol;1
;0;2;17163;Sant Gregori;2
;0;3;17164;Sant Hilari Sacalm;3
;0;1;17165;Sant Jaume de Llierca;1
;0;1;17166;Sant Jordi Desvalls;1
;0;3;17167;Sant Joan de les Abadesses;3
;0;1;17168;Sant Joan de Mollet;1
;0;2;17169;Sant Julià de Ramis;2
;0;1;17170;Vallfogona de Ripollès;1
;0;1;17171;Sant Llorenç de la Muga;1
;0;1;17172;Sant Martí de Llémena;1
;0;1;17173;Sant Martí Vell;1
;0;1;17174;Sant Miquel de Campmajor;1
;0;1;17175;Sant Miquel de Fluvià;1
;0;1;17176;Sant Mori;1
;0;1;17177;Sant Pau de Segúries;1
;0;1;17178;Sant Pere Pescador;1
;0;6;17180;Santa Coloma de Farners;6
;0;2;17181;Santa Cristina d'Aro;2
;0;1;17182;Santa Llogaia d'Àlguema;1
;0;1;17183;Sant Aniol de Finestres;1
;0;1;17184;Santa Pau;1
;0;3;17185;Sant Joan les Fonts;3
;0;3;17186;Sarrià de Ter;3
;0;1;17187;Saus, Camallera i Llampaies;1
;0;1;17188;Selva de Mar, La;1
;0;2;17189;Cellera de Ter, La;2
;0;1;17190;Serinyà;1
;0;1;17191;Serra de Daró;1
;0;1;17192;Setcases;1
;0;3;17193;Sils;3
;0;1;17194;Susqueda;1
;0;1;17195;Tallada d'Empordà, La;1
;0;1;17196;Terrades;1
;0;1;17197;Torrent;1
;0;1;17198;Torroella de Fluvià;1
;0;7;17199;Torroella de Montgrí;7
;0;1;17200;Tortellà;1
;0;1;17201;Toses;1
;0;3;17202;Tossa de Mar;3
;0;1;17203;Ultramort;1
;0;1;17204;Ullà;1
;0;1;17205;Ullastret;1
;0;1;17206;Urús;1
;0;2;17207;Vall d'en Bas, La;2
;0;1;17208;Vall de Bianya, La;1
;0;1;17209;Vall-llobrega;1
;0;1;17210;Ventalló;1
;0;1;17211;Verges;1
;0;1;17212;Vidrà;1
;0;4;17213;Vidreres;4
;0;1;17214;Vilabertran;1
;0;2;17215;Vilablareix;2
;0;1;17216;Viladasens;1
;0;1;17217;Viladamat;1
;0;1;17218;Vilademuls;1
;0;1;17220;Viladrau;1
;0;4;17221;Vilafant;4
;0;1;17222;Vilaür;1
;0;1;17223;Vilajuïga;1
;0;1;17224;Vilallonga de Ter;1
;0;1;17225;Vilamacolum;1
;0;1;17226;Vilamalla;1
;0;1;17227;Vilamaniscle;1
;0;1;17228;Vilanant;1
;0;1;17230;Vila-sacra;1
;0;1;17232;Vilopriu;1
;0;2;17233;Vilobí d'Onyar;2
;0;1;17234;Biure;1
;0;1;17901;Cruïlles, Monells i Sant Sadurní de l'Heura;1
;0;2;17902;Forallac;2
;0;1;17903;Sant Julià del Llor i Bonmatí;1
;0;1;18001;Agrón;1
;0;1;18002;Alamedilla;1
;0;10;18003;Albolote;10
;0;1;18004;Albondón;1
;0;1;18005;Albuñán;1
;0;3;18006;Albuñol;3
;0;1;18007;Albuñuelas;1
;0;1;18010;Aldeire;1
;0;4;18011;Alfacar;4
;0;3;18012;Algarinejo;3
;0;5;18013;Alhama de Granada;5
;0;5;18014;Alhendín;5
